Rank,Operator,Count,
1,RansomHub,2,
1,TCR Team,2,
2,Lynx,1,
2,NightSpire,1,
2,Babuk 2.0,1,
2,AiLock,1,
2,Qilin,1,
2,RALord,1,
2,Devman,1,
