industry,victim_now,victim_lastyear,Change
Law Firms & Legal Services,19,96,-77
Hospitality,95,137,-42
"Energy, Utilities & Waste Treatment",16,43,-27
Media & Internet,4,30,-26
Consumer Services,70,83,-13
Metals & Mining,1,4,-3
