country,victim
United States of America,42
Canada,8
United Kingdom,5
France,5
Indonesia,4
Italy,3
Germany,2
Spain,2
Israel,2
Belgium,2
Thailand,2
India,1
Argentina,1
Bulgaria,1
Kenya,1
Kiribati,1
Malaysia,1
Mexico,1
Poland,1
Peru,1
Palau,1
Pakistan,1
Romania,1
South Africa,1
Türkiye,1
Vietnam,1
