industry,victim_now,victim_lastyear,Change
Business Services,582,190,392
Retail,358,205,153
Finance,153,74,79
Manufacturing,502,463,39
Government,92,56,36
Real Estate,72,41,31
Education,118,92,26
Transportation,113,96,17
Construction,227,211,16
Insurance,47,37,10
