country,victim_now,percentage_now,victim_lastyear,percentage_lastyear,Change
United Arab Emirates,8,0.2,21,0.9,-13
Denmark,4,0.1,10,0.4,-6
Sweden,16,0.4,20,0.9,-4
United Kingdom,140,3.9,141,6.2,-1
Slovakia,3,0.1,4,0.2,-1
Ireland,8,0.2,9,0.4,-1
Israel,18,0.5,19,0.8,-1
New Zealand,8,0.2,9,0.4,-1
Turkey,2,0.1,3,0.1,-1
Bolivia,1,0,2,0.1,-1
